Month,Active Players,New Players,Proposals,Names
2009-08,25,3,119,"75th Trombone, ais523, Apathetic Lizardman, arthexis, Bucky, Darknight, dogfish, Euler, Excalabur, Gawain, geographyrules, Ienpw III, Klisz, Mossfire, Oze, Pavitra, Psychotipath, Qwazukee, Rodlen, Seventy-Fifth Trombone, Shem, SingularByte, spikebrennan, Wakukee, Wooble"
2009-09,13,1,46,"ais523, Apathetic Lizardman, arthexis, Bucky, Dr. Melon, Ienpw III, Josh, Kevan, Klisz, Mossfire, Qwazukee, spikebrennan, Wakukee"
2009-10,20,3,155,"ais523, Amnistar, anna, arthexis, Bucky, Darknight, dogfish, Excalabur, Ienpw III, Josh, Kevan, Klisz, Oranjer, Oze, Qwazukee, Rune Master Xan, Shem, spikebrennan, Wakukee, Wooble"
2009-11,19,4,58,"75th Trombone, ais523, Alzhaid, Apathetic Lizardman, arthexis, Bucky, Excalabur, Hix, Ienpw III, Josh, Kevan, Klisz, NoOneImportant, OddRon, Oze, Qwazukee, spikebrennan, tecslicer, Wakukee"
2009-12,30,7,78,"90000, ais523, alethiophile, Apathetic Lizardman, Bucky, Darknight, digibomber, Dustin, Excalabur, Falkuon, Ienpw III, Josh, Kevan, Klisz, Nausved, NoOneImportant, Ornithopter, Oze, Qwazukee, SanguineTeddy, Scaramouche, SingularByte, spikebrennan, Syl, tecslicer, There, Uvthenfuv, Wakukee, xiaobo, Zephyr"
2010-01,39,10,121,"90000, ais523, alethiophile, Anonyman, Apathetic Lizardman, Aquafraternally Yours, arthexis, Bucky, cloj63, Darknight, digibomber, Dustin, Excalabur, Greytyphoon, Hix, Ienpw III, Josh, Keba, Kevan, Klisz, Kneuronak, NonnoNaz, NoOneImportant, Ornithopter, Purplebeard, Put, Qwazukee, Rodlen, Roujo, Rune Master Xan, SanguineTeddy, spikebrennan, tecslicer, There, Thrawn, TrumanCapote, Uvthenfuv, Wakukee, yabbaguy"
2010-02,27,5,73,"ais523, Anonyman, Bucky, Darknight, dbdougla, digibomber, Excalabur, flurie, hellzapoppin, Hix, Ienpw III, Josh, Keba, Kevan, Klisz, lordcooper, NoOneImportant, Ornithopter, Purplebeard, Put, Qwazukee, Rodlen, Roujo, Uvthenfuv, Wakukee, yabbaguy, zauper"
2010-03,20,3,87,"ais523, Anonyman, Darknight, dbdougla, DiEvAl, flurie, Ienpw III, Josh, Keba, Kevan, Klisz, Lithophagist, lordcooper, Pteriforever65536, Purplebeard, Put, Roujo, spikebrennan, tecslicer, Uvthenfuv"
2010-04,31,6,92,"ais523, Anonyman, Clucky, Darknight, dbdougla, digibomber, flurie, Galdyn, Hix, Hyronious, Ienpw III, Igthorn, Josh, Kalhaan, Keba, keecz, Kevan, Klisz, lordcooper, muiro, Oracular rufio, Ornithopter, Purplebeard, Put, Qwazukee, Rodlen, Roujo, SeerPenguin, spikebrennan, Tiberias, Wakukee"
2010-05,26,6,71,"ais523, Anonyman, Bluecloud, Bucky, dbdougla, flurie, Galdyn, h2g2guy, Ienpw III, Josh, Jumblin McGrumblin, Keba, Kevan, Klisz, lilomar, lordcooper, Ornithopter, Purplebeard, Put, Qwazukee, Rodney, ScrumHalf, scshunt, SeerPenguin, spikebrennan, Tiberias"
